"Type","Version","Link"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5460312"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5460309"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5460308"
"R","1.21","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5460144"
"R","1.21","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5460143"
"R","1.21","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5460139"
"R","1.21","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5427184"
"R","1.21","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5427181"
"R","1.21","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5427177"
"R","1.20.6","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5426780"
"R","1.20.6","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5420611"
"R","1.20.6","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5419281"
"R","1.20.6","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5419275"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5414528"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5414523"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5414521"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5386950"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5386948"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5386947"
"R","1.20.6","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5386265"
"R","1.20.6","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5386262"
"R","1.20.6","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5363769"
"R","1.20.6","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5363767"
"R","1.20.6","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5302025"
"R","1.20.6","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5302024"
"R","1.20.5","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5289593"
"R","1.20.5","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5289592"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5190346"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5188427"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5188421"
"R","1.20.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5188406"
"R","1.20.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5188399"
"R","1.20.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5188390"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5060426"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5060419"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5060416"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5060411"
"R","1.20.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5060391"
"R","1.20.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5060390"
"R","1.20.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5060389"
"R","1.20.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5021703"
"R","1.20.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5021702"
"R","1.20.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5021700"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5021670"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5021668"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5021664"
"R","1.20.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5021634"
"R","1.20.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5021632"
"R","1.20.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5021629"
"R","1.20.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/5001304"
"R","1.20.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4977648"
"R","1.20.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4938699"
"R","1.20.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4938693"
"R","1.20.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4938691"
"R","1.20.3","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4937562"
"R","1.20.2","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4936009"
"R","1.20.3","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4935981"
"R","1.20.3","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4935968"
"R","1.20.3","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4935962"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4933989"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4933987"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4933984"
"R","1.20.2","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4933824"
"R","1.20.2","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4933815"
