"Type","Version","Link"
"R","1.21","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/5507247"
"B","1.21","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/5443868"
"R","1.20.6","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/5400333"
"R","1.20.6","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/5361158"
"R","1.20.6,1.20.5","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/5326360"
"R","1.20.4","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/5168651"
"R","1.20.4","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/5145928"
"B","1.20.4","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/5077492"
"R","1.20.4","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/5077484"
"B","1.20.4","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/4954438"
"R","1.20.4","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/4954407"
"B","1.20.2","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/4807512"
"R","1.20.2","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/4793145"
"B","1.20.2","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/4787644"
"R","1.20.2","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/4773938"
"R","1.20.1,1.20","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/4586218"
"R","1.19.4","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/4445118"
"R","1.19.3","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/4162208"
"R","1.19.2,1.19.1","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/3922622"
"R","1.19.2,1.19.1","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/3907136"
"B","1.19","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/3903074"
"B","1.19","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/3836903"
"R","1.18.2","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/3697298"
"R","1.18.1","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/3631606"
"R","1.18.1","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/3559499"
"R","1.17.1","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/3502100"
"R","1.17.1","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/3433990"
"R","1.16.5,1.16.4,1.16.3","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/3283693"
"R","1.16.5,1.16.4,1.16.3","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/3237691"
"R","1.16.5,1.16.4,1.16.3","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/3209370"
"R","1.16.5,1.16.4,1.16.3","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/3172951"
"B","1.16.5,1.16.4,1.16.3","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/3172947"
"R","1.16.5,1.16.4,1.16.3","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/3135187"
"B","1.16.5,1.16.4,1.16.3","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/3135186"
"R","1.16.4,1.16.3","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/3100516"
"B","1.16.4,1.16.3","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/3100515"
"R","1.12.2","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/2941712"
"R","1.15.2","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/2873556"
"B","1.15.2","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/2869472"
"B","1.14.4","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/2760378"
"R","1.14.4","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/2760377"
"R","1.13.2","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/2723276"
"R","1.12.1,1.12","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/2460570"
"R","1.11.2,1.11.1,1.11","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/2355945"
"R","1.10.2,1.10.1,1.10","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/2328371"
"R","1.7.10","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/2309699"
"R","1.9.4","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/2309681"
"R","1.9","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/2298900"
"R","1.8.9","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/2275930"
"R","1.8","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/2240310"
"R","1.7.10","https://www.curseforge.com/minecraft/mc-mods/worldedit/download/2219060"
